title,ingredients,instructions,cuisine,servings,time_minutes,ingredient_list
Edamame Rice Skillet (Style 3),"edamame, rice, spinach, scallion, seaweed, garlic, sesame, vegetable oil","Brown edamame in vegetable oil, add spinach and garlic, fold in rice, cook until done.",Japanese,4,22,1 edamame; 200g rice; 3 spinach; 3 scallion; 2 seaweed; 4 cloves garlic; 1 sesame; 1 tbsp vegetable oil
Tofu Udon Salad,"tofu, udon, mushroom, carrot, miso, vegetable oil","Combine mushroom, tofu, and udon, dress with vegetable oil and miso, toss well.",Japanese,2,16,150g tofu; 2 udon; 1 mushroom; 1 carrot; 1 miso; 3 tbsp vegetable oil
White Beans Rice Tacos (Style 3),"white beans, rice, tomato, eggplant, olive, parsley, lemon, feta","Cook white beans with parsley, load into rice with tomato and feta.",Mediterranean,6,22,2 white beans; 200g rice; 3 tomato; 2 eggplant; 1 olive; 3 parsley; 3 lemon; 400g feta
Salmon Soba Salad (Style 3),"salmon, soba, mushroom, cabbage, spinach, scallion, garlic, sesame oil","Combine mushroom, salmon, and soba, dress with sesame oil and garlic, toss well.",Japanese,4,12,300g salmon; 3 soba; 3 mushroom; 3 cabbage; 1 spinach; 3 scallion; 3 cloves garlic; 1 tsp sesame oil
Tofu Ramen Noodles Pasta (Style 2),"tofu, ramen noodles, seaweed, spinach, carrot, soy sauce, ginger, garlic, vegetable oil","Boil ramen noodles, saute tofu with soy sauce, toss with seaweed and vegetable oil.",Japanese,2,20,300g tofu; 1 ramen noodles; 1 seaweed; 2 spinach; 1 carrot; 1 soy sauce; 2 tbsp ginger; 3 cloves garlic; 2 tbsp vegetable oil
Feta Orzo Stir-Fry (Style 2),"feta, orzo, spinach, tomato, onion, eggplant, parsley, lemon, garlic, yogurt","Heat oil in a wok, stir-fry feta until cooked, add spinach and parsley, toss with orzo and serve hot.",Mediterranean,2,22,150g feta; 1 orzo; 1 spinach; 1 tomato; 2 onion; 2 eggplant; 3 parsley; 1 lemon; 4 cloves garlic; 1 cup yogurt
Beef Tortilla Soup,"beef, tortilla, jalapeno, lettuce, bell pepper, tomato, cumin, sour cream","Simmer beef, jalapeno, and cumin in broth, add tortilla near the end, season and serve.",Mexican,4,35,300g beef; 2 tortilla; 2 jalapeno; 3 lettuce; 2 bell pepper; 2 tomato; 3 cumin; 2 sour cream
Chicken Bulgur Skillet (Style 3),"chicken, bulgur, cucumber, olive, onion, eggplant, parsley, mint, oregano, yogurt","Brown chicken in yogurt, add cucumber and parsley, fold in bulgur, cook until done.",Mediterranean,2,29,250g chicken; 150g bulgur; 3 cucumber; 1 olive; 1 onion; 3 eggplant; 3 parsley; 2 mint; 3 oregano; 2 cup yogurt
Egg Polenta Salad,"egg, polenta, zucchini, spinach, basil, bell pepper, garlic, onion, oregano, butter","Combine zucchini, egg, and polenta, dress with butter and garlic, toss well.",Italian,2,14,3 egg; 3 polenta; 3 zucchini; 3 spinach; 1 basil; 1 bell pepper; 3 cloves garlic; 3 onion; 3 oregano; 1 tbsp butter
Black Beans Rice Bowl (Style 3),"black beans, rice, tomato, bell pepper, jalapeno, cilantro, lime, garlic, olive oil","Cook rice, top with seared black beans, fresh tomato, and a drizzle of olive oil.",Mexican,3,26,1 black beans; 250g rice; 2 tomato; 2 bell pepper; 1 jalapeno; 3 cilantro; 1 lime; 3 cloves garlic; 3 tbsp olive oil
Lentils Roti Soup,"lentils, roti, onion, peas, cauliflower, tomato, garlic, oil","Simmer lentils, onion, and garlic in broth, add roti near the end, season and serve.",Indian,3,50,3 lentils; 3 roti; 3 onion; 1 peas; 1 cauliflower; 3 tomato; 4 cloves garlic; 3 tbsp oil
Egg Couscous Pasta,"egg, couscous, tomato, cucumber, garlic, feta","Boil couscous, saute egg with garlic, toss with tomato and feta.",Mediterranean,2,20,2 egg; 150g couscous; 3 tomato; 3 cucumber; 3 cloves garlic; 400g feta
Chickpeas Rice Bowl (Style 2),"chickpeas, rice, olive, cucumber, onion, lemon, parsley, mint, olive oil","Cook rice, top with seared chickpeas, fresh olive, and a drizzle of olive oil.",Mediterranean,6,20,2 chickpeas; 300g rice; 2 olive; 3 cucumber; 3 onion; 1 lemon; 3 parsley; 3 mint; 2 tbsp olive oil
Sausage Gnocchi Tacos,"sausage, gnocchi, zucchini, tomato, spinach, mushroom, garlic, onion, oregano, butter","Cook sausage with garlic, load into gnocchi with zucchini and butter.",Italian,2,30,3 sausage; 1 gnocchi; 1 zucchini; 2 tomato; 3 spinach; 1 mushroom; 2 cloves garlic; 3 onion; 2 oregano; 3 tbsp butter
White Beans Polenta Salad (Style 2),"white beans, polenta, mushroom, spinach, bell pepper, oregano, parmesan","Combine mushroom, white beans, and polenta, dress with parmesan and oregano, toss well.",Italian,2,15,3 white beans; 1 polenta; 1 mushroom; 2 spinach; 1 bell pepper; 2 oregano; 2 cup parmesan
Salmon Ramen Noodles Bowl (Style 2),"salmon, ramen noodles, mushroom, seaweed, garlic, vegetable oil","Cook ramen noodles, top with seared salmon, fresh mushroom, and a drizzle of vegetable oil.",Japanese,6,23,150g salmon; 2 ramen noodles; 2 mushroom; 2 seaweed; 4 cloves garlic; 1 tbsp vegetable oil
Egg Soba Wrap (Style 3),"egg, soba, scallion, seaweed, cabbage, sesame, ginger, sesame oil","Fill soba with egg, scallion, and sesame oil, season with sesame, roll and serve.",Japanese,3,14,1 egg; 2 soba; 3 scallion; 1 seaweed; 1 cabbage; 1 sesame; 1 tbsp ginger; 1 tsp sesame oil
Beef Taco Shells Pasta (Style 3),"beef, taco shells, bell pepper, avocado, cumin, sour cream","Boil taco shells, saute beef with cumin, toss with bell pepper and sour cream.",Mexican,2,23,300g beef; 2 taco shells; 2 bell pepper; 3 avocado; 3 cumin; 2 sour cream
Egg Basmati Rice Bowl,"egg, basmati rice, cauliflower, peas, garam masala, oil","Cook basmati rice, top with seared egg, fresh cauliflower, and a drizzle of oil.",Indian,6,24,3 egg; 150g basmati rice; 1 cauliflower; 1 peas; 1 garam masala; 1 tbsp oil
Egg Taco Shells Curry (Style 2),"egg, taco shells, tomato, onion, cilantro, lime, garlic, sour cream","Saute cilantro, add egg and tomato, simmer in sauce until tender, serve over taco shells.",Mexican,3,45,1 egg; 1 taco shells; 2 tomato; 1 onion; 1 cilantro; 2 lime; 4 cloves garlic; 1 sour cream
Shrimp Taco Shells Baked,"shrimp, taco shells, bell pepper, lettuce, onion, lime, sour cream","Layer shrimp, bell pepper, and taco shells, top with sour cream, bake until golden.",Mexican,4,49,150g shrimp; 1 taco shells; 1 bell pepper; 3 lettuce; 3 onion; 3 lime; 2 sour cream
Egg Basmati Rice Tacos (Style 3),"egg, basmati rice, cauliflower, onion, spinach, cilantro, coconut milk","Cook egg with cilantro, load into basmati rice with cauliflower and coconut milk.",Indian,2,29,2 egg; 400g basmati rice; 2 cauliflower; 2 onion; 3 spinach; 3 cilantro; 2 cup coconut milk
Beef Noodles Wrap (Style 3),"beef, noodles, bell pepper, bok choy, broccoli, soy sauce, ginger, vegetable oil","Fill noodles with beef, bell pepper, and vegetable oil, season with soy sauce, roll and serve.",Chinese,3,11,250g beef; 300g noodles; 2 bell pepper; 3 bok choy; 3 broccoli; 2 soy sauce; 3 tbsp ginger; 2 tbsp vegetable oil
Chickpeas Orzo Soup (Style 3),"chickpeas, orzo, onion, cucumber, spinach, tomato, parsley, feta","Simmer chickpeas, onion, and parsley in broth, add orzo near the end, season and serve.",Mediterranean,6,50,1 chickpeas; 3 orzo; 3 onion; 3 cucumber; 2 spinach; 2 tomato; 2 parsley; 400g feta
Chicken Pita Skillet,"chicken, pita, olive, onion, eggplant, parsley, lemon, olive oil","Brown chicken in olive oil, add olive and parsley, fold in pita, cook until done.",Mediterranean,6,20,150g chicken; 2 pita; 3 olive; 3 onion; 3 eggplant; 3 parsley; 3 lemon; 2 tbsp olive oil
White Beans Bread Wrap,"white beans, bread, mushroom, tomato, garlic, butter","Fill bread with white beans, mushroom, and butter, season with garlic, roll and serve.",Italian,3,15,2 white beans; 2 bread; 2 mushroom; 2 tomato; 2 cloves garlic; 1 tbsp butter
Chicken Soba Pasta (Style 2),"chicken, soba, mushroom, scallion, carrot, sesame, sesame oil","Boil soba, saute chicken with sesame, toss with mushroom and sesame oil.",Japanese,2,21,400g chicken; 3 soba; 2 mushroom; 1 scallion; 3 carrot; 1 sesame; 1 tsp sesame oil
Shrimp Dumpling Wrappers Curry (Style 2),"shrimp, dumpling wrappers, bell pepper, scallion, carrot, broccoli, garlic, peanut oil","Saute garlic, add shrimp and bell pepper, simmer in sauce until tender, serve over dumpling wrappers.",Chinese,4,41,300g shrimp; 3 dumpling wrappers; 3 bell pepper; 3 scallion; 1 carrot; 1 broccoli; 4 cloves garlic; 1 peanut oil
Black Beans Tortilla Bowl (Style 3),"black beans, tortilla, tomato, avocado, lettuce, bell pepper, garlic, sour cream","Cook tortilla, top with seared black beans, fresh tomato, and a drizzle of sour cream.",Mexican,6,27,2 black beans; 2 tortilla; 1 tomato; 3 avocado; 1 lettuce; 2 bell pepper; 4 cloves garlic; 2 sour cream
Turkey Pasta Pasta (Style 3),"turkey, pasta, corn, lettuce, paprika, mayo","Boil pasta, saute turkey with paprika, toss with corn and mayo.",American,3,21,1 turkey; 150g pasta; 2 corn; 3 lettuce; 3 paprika; 2 mayo
Egg Jasmine Rice Curry (Style 2),"egg, jasmine rice, basil, broccoli, bean sprouts, carrot, chili, ginger, lemongrass, coconut milk","Saute chili, add egg and basil, simmer in sauce until tender, serve over jasmine rice.",Thai,2,41,3 egg; 300g jasmine rice; 2 basil; 3 broccoli; 3 bean sprouts; 2 carrot; 2 chili; 3 tbsp ginger; 1 lemongrass; 2 cup coconut milk
Chicken Jasmine Rice Curry,"chicken, jasmine rice, broccoli, basil, lime, garlic, peanut","Saute lime, add chicken and broccoli, simmer in sauce until tender, serve over jasmine rice.",Thai,2,33,200g chicken; 200g jasmine rice; 2 broccoli; 1 basil; 2 lime; 3 cloves garlic; 3 peanut
Salmon Soba Salad,"salmon, soba, carrot, mushroom, scallion, ginger, garlic, sesame oil","Combine carrot, salmon, and soba, dress with sesame oil and ginger, toss well.",Japanese,4,20,400g salmon; 3 soba; 2 carrot; 3 mushroom; 3 scallion; 2 tbsp ginger; 2 cloves garlic; 2 tsp sesame oil
Egg Corn Tacos (Style 3),"egg, corn, avocado, bell pepper, tomato, cilantro, cheese","Cook egg with cilantro, load into corn with avocado and cheese.",Mexican,6,24,1 egg; 1 corn; 1 avocado; 2 bell pepper; 3 tomato; 2 cilantro; 2 cup cheese
Shrimp Jasmine Rice Pasta (Style 2),"shrimp, jasmine rice, basil, broccoli, bean sprouts, lemongrass, lime, peanut","Boil jasmine rice, saute shrimp with lemongrass, toss with basil and peanut.",Thai,3,20,300g shrimp; 200g jasmine rice; 1 basil; 2 broccoli; 3 bean sprouts; 1 lemongrass; 2 lime; 3 peanut
Shrimp Corn Bowl (Style 3),"shrimp, corn, bell pepper, avocado, jalapeno, lime, cumin, cheese","Cook corn, top with seared shrimp, fresh bell pepper, and a drizzle of cheese.",Mexican,3,20,250g shrimp; 1 corn; 2 bell pepper; 1 avocado; 1 jalapeno; 2 lime; 1 cumin; 1 cup cheese
Egg Gnocchi Baked,"egg, gnocchi, zucchini, tomato, oregano, olive oil","Layer egg, zucchini, and gnocchi, top with olive oil, bake until golden.",Italian,6,53,2 egg; 2 gnocchi; 2 zucchini; 3 tomato; 3 oregano; 1 tbsp olive oil
Chicken Potato Skillet,"chicken, potato, cauliflower, onion, peas, ginger, coconut milk","Brown chicken in coconut milk, add cauliflower and ginger, fold in potato, cook until done.",Indian,3,28,250g chicken; 2 potato; 1 cauliflower; 1 onion; 2 peas; 2 tbsp ginger; 2 cup coconut milk
Beef Polenta Baked (Style 2),"beef, polenta, bell pepper, spinach, tomato, onion, oregano, olive oil","Layer beef, bell pepper, and polenta, top with olive oil, bake until golden.",Italian,6,54,250g beef; 1 polenta; 2 bell pepper; 3 spinach; 3 tomato; 1 onion; 1 oregano; 2 tbsp olive oil
White Beans Rice Skillet (Style 2),"white beans, rice, eggplant, cucumber, spinach, tomato, garlic, mint, yogurt","Brown white beans in yogurt, add eggplant and garlic, fold in rice, cook until done.",Mediterranean,4,27,2 white beans; 400g rice; 3 eggplant; 1 cucumber; 2 spinach; 3 tomato; 2 cloves garlic; 1 mint; 2 cup yogurt
Chicken Udon Tacos (Style 2),"chicken, udon, mushroom, seaweed, scallion, miso, vegetable oil","Cook chicken with miso, load into udon with mushroom and vegetable oil.",Japanese,2,29,400g chicken; 3 udon; 2 mushroom; 3 seaweed; 2 scallion; 3 miso; 2 tbsp vegetable oil
White Beans Pasta Curry,"white beans, pasta, basil, tomato, zucchini, spinach, garlic, oregano, onion, butter","Saute garlic, add white beans and basil, simmer in sauce until tender, serve over pasta.",Italian,4,37,3 white beans; 250g pasta; 3 basil; 2 tomato; 3 zucchini; 1 spinach; 4 cloves garlic; 1 oregano; 3 onion; 3 tbsp butter
Chicken Orzo Tacos (Style 2),"chicken, orzo, onion, cucumber, lemon, parsley, oregano, feta","Cook chicken with lemon, load into orzo with onion and feta.",Mediterranean,2,24,250g chicken; 3 orzo; 1 onion; 3 cucumber; 3 lemon; 3 parsley; 1 oregano; 300g feta
Black Beans Tortilla Pasta (Style 2),"black beans, tortilla, tomato, lettuce, onion, jalapeno, garlic, sour cream","Boil tortilla, saute black beans with garlic, toss with tomato and sour cream.",Mexican,3,29,1 black beans; 2 tortilla; 3 tomato; 3 lettuce; 3 onion; 1 jalapeno; 3 cloves garlic; 2 sour cream
Beef Udon Pasta,"beef, udon, cabbage, seaweed, spinach, sesame, miso, vegetable oil","Boil udon, saute beef with sesame, toss with cabbage and vegetable oil.",Japanese,2,20,250g beef; 2 udon; 3 cabbage; 2 seaweed; 3 spinach; 3 sesame; 3 miso; 1 tbsp vegetable oil
Feta Pita Curry,"feta, pita, tomato, onion, olive, parsley, yogurt","Saute parsley, add feta and tomato, simmer in sauce until tender, serve over pita.",Mediterranean,4,36,400g feta; 1 pita; 3 tomato; 1 onion; 3 olive; 3 parsley; 2 cup yogurt
Shrimp Pasta Wrap (Style 3),"shrimp, pasta, zucchini, tomato, bell pepper, garlic, olive oil","Fill pasta with shrimp, zucchini, and olive oil, season with garlic, roll and serve.",Italian,6,15,400g shrimp; 200g pasta; 2 zucchini; 1 tomato; 1 bell pepper; 2 cloves garlic; 2 tbsp olive oil
Shrimp Rice Noodles Curry (Style 3),"shrimp, rice noodles, carrot, bean sprouts, broccoli, basil, garlic, ginger, vegetable oil","Saute garlic, add shrimp and carrot, simmer in sauce until tender, serve over rice noodles.",Thai,4,39,200g shrimp; 2 rice noodles; 1 carrot; 1 bean sprouts; 2 broccoli; 1 basil; 4 cloves garlic; 3 tbsp ginger; 3 tbsp vegetable oil
Turkey Bread Pasta (Style 3),"turkey, bread, mushroom, bell pepper, tomato, garlic, paprika, cheese","Boil bread, saute turkey with garlic, toss with mushroom and cheese.",American,4,22,3 turkey; 2 bread; 1 mushroom; 2 bell pepper; 3 tomato; 4 cloves garlic; 1 paprika; 2 cup cheese
Lamb Roti Bowl,"lamb, roti, peas, spinach, tomato, cauliflower, turmeric, ghee","Cook roti, top with seared lamb, fresh peas, and a drizzle of ghee.",Indian,4,21,150g lamb; 3 roti; 1 peas; 3 spinach; 2 tomato; 3 cauliflower; 2 turmeric; 2 tbsp ghee
Lentils Naan Stir-Fry (Style 2),"lentils, naan, spinach, peas, onion, turmeric, ghee","Heat oil in a wok, stir-fry lentils until cooked, add spinach and turmeric, toss with naan and serve hot.",Indian,4,23,2 lentils; 2 naan; 2 spinach; 1 peas; 3 onion; 2 turmeric; 2 tbsp ghee
Chickpeas Pita Soup,"chickpeas, pita, eggplant, onion, parsley, lemon, feta","Simmer chickpeas, eggplant, and parsley in broth, add pita near the end, season and serve.",Mediterranean,2,43,2 chickpeas; 1 pita; 3 eggplant; 3 onion; 1 parsley; 2 lemon; 300g feta
Chickpeas Couscous Salad (Style 3),"chickpeas, couscous, olive, cucumber, garlic, mint, feta","Combine olive, chickpeas, and couscous, dress with feta and garlic, toss well.",Mediterranean,4,11,3 chickpeas; 150g couscous; 3 olive; 2 cucumber; 4 cloves garlic; 2 mint; 300g feta
Tofu Dumpling Wrappers Stir-Fry (Style 2),"tofu, dumpling wrappers, carrot, snow peas, bok choy, soy sauce, garlic, vegetable oil","Heat oil in a wok, stir-fry tofu until cooked, add carrot and soy sauce, toss with dumpling wrappers and serve hot.",Chinese,2,19,150g tofu; 2 dumpling wrappers; 2 carrot; 2 snow peas; 1 bok choy; 1 soy sauce; 2 cloves garlic; 1 tbsp vegetable oil
Egg Noodles Tacos (Style 2),"egg, noodles, bell pepper, scallion, snow peas, garlic, soy sauce, peanut oil","Cook egg with garlic, load into noodles with bell pepper and peanut oil.",Chinese,2,25,2 egg; 150g noodles; 2 bell pepper; 2 scallion; 1 snow peas; 2 cloves garlic; 1 soy sauce; 3 peanut oil
Chicken Risotto Rice Curry,"chicken, risotto rice, basil, zucchini, bell pepper, mushroom, garlic, onion, butter","Saute garlic, add chicken and basil, simmer in sauce until tender, serve over risotto rice.",Italian,4,37,250g chicken; 3 risotto rice; 2 basil; 3 zucchini; 1 bell pepper; 2 mushroom; 3 cloves garlic; 1 onion; 3 tbsp butter
Lentils Basmati Rice Pasta (Style 2),"lentils, basmati rice, cauliflower, tomato, peas, garam masala, garlic, cilantro, oil","Boil basmati rice, saute lentils with garam masala, toss with cauliflower and oil.",Indian,4,23,2 lentils; 400g basmati rice; 3 cauliflower; 2 tomato; 2 peas; 1 garam masala; 2 cloves garlic; 1 cilantro; 3 tbsp oil
Bacon Bread Stir-Fry (Style 3),"bacon, bread, tomato, bell pepper, mushroom, corn, garlic, mustard, paprika, cheese","Heat oil in a wok, stir-fry bacon until cooked, add tomato and garlic, toss with bread and serve hot.",American,2,20,1 bacon; 2 bread; 2 tomato; 1 bell pepper; 2 mushroom; 3 corn; 3 cloves garlic; 2 mustard; 3 paprika; 2 cup cheese
Shrimp Jasmine Rice Soup,"shrimp, jasmine rice, carrot, bell pepper, lime, lemongrass, coconut milk","Simmer shrimp, carrot, and lime in broth, add jasmine rice near the end, season and serve.",Thai,6,48,300g shrimp; 150g jasmine rice; 1 carrot; 2 bell pepper; 2 lime; 2 lemongrass; 1 cup coconut milk
Beef Tortilla Tacos,"beef, tortilla, onion, tomato, avocado, cilantro, garlic, lime, cheese","Cook beef with cilantro, load into tortilla with onion and cheese.",Mexican,3,24,150g beef; 2 tortilla; 2 onion; 3 tomato; 1 avocado; 3 cilantro; 3 cloves garlic; 2 lime; 2 cup cheese
Lamb Couscous Salad,"lamb, couscous, olive, cucumber, lemon, olive oil","Combine olive, lamb, and couscous, dress with olive oil and lemon, toss well.",Mediterranean,4,20,300g lamb; 200g couscous; 3 olive; 1 cucumber; 2 lemon; 2 tbsp olive oil
Shrimp Polenta Skillet,"shrimp, polenta, bell pepper, mushroom, spinach, zucchini, onion, garlic, parmesan","Brown shrimp in parmesan, add bell pepper and onion, fold in polenta, cook until done.",Italian,6,35,300g shrimp; 2 polenta; 3 bell pepper; 1 mushroom; 3 spinach; 1 zucchini; 1 onion; 3 cloves garlic; 2 cup parmesan
Chicken Potato Bowl (Style 2),"chicken, potato, tomato, spinach, onion, peas, garam masala, garlic, cilantro, coconut milk","Cook potato, top with seared chicken, fresh tomato, and a drizzle of coconut milk.",Indian,6,26,300g chicken; 3 potato; 2 tomato; 2 spinach; 1 onion; 2 peas; 1 garam masala; 4 cloves garlic; 2 cilantro; 2 cup coconut milk
White Beans Orzo Wrap (Style 2),"white beans, orzo, eggplant, tomato, olive, lemon, garlic, olive oil","Fill orzo with white beans, eggplant, and olive oil, season with lemon, roll and serve.",Mediterranean,6,11,2 white beans; 1 orzo; 3 eggplant; 2 tomato; 1 olive; 1 lemon; 4 cloves garlic; 2 tbsp olive oil
Paneer Naan Pasta (Style 2),"paneer, naan, cauliflower, onion, spinach, peas, cumin, garam masala, yogurt","Boil naan, saute paneer with cumin, toss with cauliflower and yogurt.",Indian,3,22,150g paneer; 2 naan; 1 cauliflower; 1 onion; 1 spinach; 3 peas; 2 cumin; 1 garam masala; 2 cup yogurt
Chicken Pasta Pasta,"chicken, pasta, spinach, basil, onion, olive oil","Boil pasta, saute chicken with onion, toss with spinach and olive oil.",Italian,3,25,300g chicken; 200g pasta; 2 spinach; 1 basil; 3 onion; 1 tbsp olive oil
Lentils Roti Pasta (Style 3),"lentils, roti, onion, cauliflower, spinach, peas, turmeric, cilantro, garlic, oil","Boil roti, saute lentils with turmeric, toss with onion and oil.",Indian,6,24,1 lentils; 2 roti; 2 onion; 1 cauliflower; 3 spinach; 2 peas; 3 turmeric; 2 cilantro; 4 cloves garlic; 1 tbsp oil
Egg Bun Curry (Style 3),"egg, bun, bell pepper, corn, mushroom, tomato, garlic, paprika, mustard, mayo","Saute garlic, add egg and bell pepper, simmer in sauce until tender, serve over bun.",American,3,37,1 egg; 1 bun; 2 bell pepper; 1 corn; 3 mushroom; 2 tomato; 3 cloves garlic; 1 paprika; 3 mustard; 2 mayo
Tofu Dumpling Wrappers Baked (Style 3),"tofu, dumpling wrappers, snow peas, bell pepper, ginger, garlic, vegetable oil","Layer tofu, snow peas, and dumpling wrappers, top with vegetable oil, bake until golden.",Chinese,4,53,150g tofu; 2 dumpling wrappers; 2 snow peas; 3 bell pepper; 2 tbsp ginger; 2 cloves garlic; 2 tbsp vegetable oil
Shrimp Risotto Rice Stir-Fry,"shrimp, risotto rice, basil, zucchini, oregano, garlic, olive oil","Heat oil in a wok, stir-fry shrimp until cooked, add basil and oregano, toss with risotto rice and serve hot.",Italian,4,25,200g shrimp; 3 risotto rice; 3 basil; 1 zucchini; 1 oregano; 3 cloves garlic; 1 tbsp olive oil
Pork Dumpling Wrappers Salad,"pork, dumpling wrappers, broccoli, bok choy, carrot, sesame oil, vegetable oil","Combine broccoli, pork, and dumpling wrappers, dress with vegetable oil and sesame oil, toss well.",Chinese,4,13,300g pork; 3 dumpling wrappers; 1 broccoli; 1 bok choy; 2 carrot; 1 tsp sesame oil; 2 tbsp vegetable oil
Beef Dumpling Wrappers Bowl (Style 3),"beef, dumpling wrappers, scallion, bok choy, carrot, ginger, sesame oil, peanut oil","Cook dumpling wrappers, top with seared beef, fresh scallion, and a drizzle of peanut oil.",Chinese,3,29,300g beef; 1 dumpling wrappers; 2 scallion; 2 bok choy; 3 carrot; 1 tbsp ginger; 1 tsp sesame oil; 1 peanut oil
Pork Jasmine Rice Tacos (Style 3),"pork, jasmine rice, broccoli, bell pepper, lemongrass, ginger, peanut","Cook pork with lemongrass, load into jasmine rice with broccoli and peanut.",Thai,4,27,150g pork; 300g jasmine rice; 3 broccoli; 2 bell pepper; 3 lemongrass; 2 tbsp ginger; 3 peanut
White Beans Pita Baked (Style 3),"white beans, pita, cucumber, olive, onion, eggplant, oregano, mint, yogurt","Layer white beans, cucumber, and pita, top with yogurt, bake until golden.",Mediterranean,3,43,3 white beans; 3 pita; 3 cucumber; 1 olive; 1 onion; 3 eggplant; 1 oregano; 2 mint; 2 cup yogurt
Lentils Roti Curry (Style 2),"lentils, roti, spinach, peas, ginger, ghee","Saute ginger, add lentils and spinach, simmer in sauce until tender, serve over roti.",Indian,3,43,1 lentils; 2 roti; 3 spinach; 1 peas; 1 tbsp ginger; 1 tbsp ghee
Turkey Potato Skillet (Style 3),"turkey, potato, bell pepper, tomato, paprika, garlic, mustard, cheese","Brown turkey in cheese, add bell pepper and paprika, fold in potato, cook until done.",American,2,33,2 turkey; 2 potato; 2 bell pepper; 3 tomato; 3 paprika; 2 cloves garlic; 3 mustard; 2 cup cheese
Chickpeas Naan Skillet (Style 3),"chickpeas, naan, tomato, spinach, cauliflower, onion, garam masala, turmeric, ginger, yogurt","Brown chickpeas in yogurt, add tomato and garam masala, fold in naan, cook until done.",Indian,2,31,3 chickpeas; 2 naan; 3 tomato; 2 spinach; 1 cauliflower; 3 onion; 3 garam masala; 1 turmeric; 2 tbsp ginger; 2 cup yogurt
Egg Jasmine Rice Baked (Style 3),"egg, jasmine rice, basil, broccoli, lemongrass, garlic, coconut milk","Layer egg, basil, and jasmine rice, top with coconut milk, bake until golden.",Thai,4,43,1 egg; 150g jasmine rice; 3 basil; 3 broccoli; 1 lemongrass; 4 cloves garlic; 1 cup coconut milk
Pork Taco Shells Tacos (Style 3),"pork, taco shells, onion, lettuce, cumin, cilantro, cheese","Cook pork with cumin, load into taco shells with onion and cheese.",Mexican,4,23,300g pork; 2 taco shells; 3 onion; 3 lettuce; 3 cumin; 2 cilantro; 1 cup cheese
Pork Dumpling Wrappers Baked (Style 3),"pork, dumpling wrappers, carrot, snow peas, scallion, garlic, sesame oil, vegetable oil","Layer pork, carrot, and dumpling wrappers, top with vegetable oil, bake until golden.",Chinese,6,59,150g pork; 3 dumpling wrappers; 1 carrot; 3 snow peas; 3 scallion; 4 cloves garlic; 2 tsp sesame oil; 1 tbsp vegetable oil
Beef Pasta Curry (Style 2),"beef, pasta, zucchini, bell pepper, mushroom, tomato, onion, olive oil","Saute onion, add beef and zucchini, simmer in sauce until tender, serve over pasta.",Italian,6,37,300g beef; 400g pasta; 3 zucchini; 3 bell pepper; 2 mushroom; 2 tomato; 2 onion; 3 tbsp olive oil
Salmon Ramen Noodles Baked (Style 3),"salmon, ramen noodles, cabbage, mushroom, spinach, carrot, sesame, miso, ginger, sesame oil","Layer salmon, cabbage, and ramen noodles, top with sesame oil, bake until golden.",Japanese,2,53,250g salmon; 2 ramen noodles; 1 cabbage; 2 mushroom; 1 spinach; 3 carrot; 1 sesame; 1 miso; 2 tbsp ginger; 2 tsp sesame oil
Chicken Noodles Tacos (Style 2),"chicken, noodles, bell pepper, snow peas, soy sauce, garlic, sesame oil, peanut oil","Cook chicken with soy sauce, load into noodles with bell pepper and peanut oil.",Chinese,4,30,250g chicken; 250g noodles; 1 bell pepper; 3 snow peas; 2 soy sauce; 3 cloves garlic; 2 tsp sesame oil; 1 peanut oil
Chicken Basmati Rice Tacos (Style 3),"chicken, basmati rice, onion, tomato, peas, cilantro, garam masala, cumin, yogurt","Cook chicken with cilantro, load into basmati rice with onion and yogurt.",Indian,2,30,300g chicken; 250g basmati rice; 3 onion; 3 tomato; 1 peas; 2 cilantro; 1 garam masala; 2 cumin; 1 cup yogurt
Paneer Roti Baked (Style 3),"paneer, roti, peas, spinach, garlic, ginger, garam masala, ghee","Layer paneer, peas, and roti, top with ghee, bake until golden.",Indian,3,52,250g paneer; 1 roti; 1 peas; 2 spinach; 2 cloves garlic; 2 tbsp ginger; 3 garam masala; 3 tbsp ghee
Shrimp Taco Shells Salad,"shrimp, taco shells, bell pepper, onion, lime, cheese","Combine bell pepper, shrimp, and taco shells, dress with cheese and lime, toss well.",Mexican,3,20,250g shrimp; 2 taco shells; 1 bell pepper; 1 onion; 3 lime; 1 cup cheese
Shrimp Gnocchi Salad (Style 2),"shrimp, gnocchi, basil, mushroom, tomato, bell pepper, oregano, onion, garlic, olive oil","Combine basil, shrimp, and gnocchi, dress with olive oil and oregano, toss well.",Italian,3,14,150g shrimp; 2 gnocchi; 2 basil; 3 mushroom; 3 tomato; 1 bell pepper; 3 oregano; 3 onion; 3 cloves garlic; 1 tbsp olive oil
Egg Rice Stir-Fry (Style 3),"egg, rice, onion, tomato, lime, cilantro, cheese","Heat oil in a wok, stir-fry egg until cooked, add onion and lime, toss with rice and serve hot.",Mexican,3,15,2 egg; 300g rice; 3 onion; 1 tomato; 3 lime; 1 cilantro; 1 cup cheese
